"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1804075884359619014","Fri Jun 21 08:56:23 +0000 2024","250","Cawe-cawe jilid kedua mulai terlihat dalam proses pilkada. Kritik terhadap Jokowi tidak membuatnya surut. Jagoan Jokowi kali ini Ridwan Kamil disebut akan dipasangkan dengan Kaesang Pangarep untuk maju di pilkada Jakarta. Demi demokrasi seharusnya elite partai politik dan https://t.co/FSJmNU5mlo","1804075884359619014","https://pbs.twimg.com/ext_tw_video_thumb/1804075783461441537/pu/img/JkTh8-5JWz2mg4qU.jpg","","in","Indonesia","10","34","152","https://x.com/tempodotco/status/1804075884359619014","18129942","tempodotco"
"1803649584356532344","Thu Jun 20 04:42:25 +0000 2024","20","Partai Golkar secara resmi menyerahkan surat dukungan terhadap Wali Kota Medan Bobby Nasution untuk maju sebagai bakal calon gubernur di Pilkada Sumatra Utara 2024. Ketua Umum Partai Golkar Airlangga Hartarto menyerahkan surat dukungan itu didampingi Wakil Ketua Umum Pemenangan https://t.co/PAPPthqZWX","1803649584356532344","https://pbs.twimg.com/media/GQfZhd8aIAQ8pcd.jpg","","in","Jakarta Capital Region","1","0","2","https://x.com/asumsico/status/1803649584356532344","829366551446818816","asumsico"
"1336672487187214336","Wed Dec 09 14:02:09 +0000 2020","3580","Data 75 Persen Masuk PKS Tercatat Menang di 120 Pilkada https://t.co/AlUihTKlOi https://t.co/YJuRRwpXuB","1336672487187214336","https://pbs.twimg.com/media/EozQiiFU0AAQzQH.jpg","","in","TB. Simatupang No. 82, Jakarta","90","242","371","https://x.com/PKSejahtera/status/1336672487187214336","22365191","PKSejahtera"
"1803192770611519921","Tue Jun 18 22:27:12 +0000 2024","33","Indonesia pura pemilu? Pilkada Pilbup Pilgub/Pilpres. Diduga pemenang sdh di pesan oligarki kapitalis lewat oknum aparat penghianat dan lembaga survei quick count tayang di TV di MKpun sidang gugatan pura pura juga? (Pilpres 2024) @KPU_ID @officialMKRI https://t.co/5hwKONQp5Y","1803192770611519921","https://pbs.twimg.com/ext_tw_video_thumb/1803192393749110786/pu/img/wuUARvOJQF2zNXZj.jpg","","in","Tolak! Indonesia di komuniskan","2","3","31","https://x.com/ForRezim/status/1803192770611519921","1482600556669460485","ForRezim"
"1758506676515402065","Fri Feb 16 15:00:37 +0000 2024","4829","Pidato kemenangan Anies-Sandi dan ucapan selamat dari Ahok-Djarot sesaat setelah keluar hasil quick count pilkada DKI 2017. Mengapa sekarang @aniesbaswedan tdk segera memberi selamat dan pendukungnya tidak percaya quick count? Apakah karena kalah? https://t.co/lCTIdldgar","1758506676515402065","https://pbs.twimg.com/ext_tw_video_thumb/1758506582248431616/pu/img/VqxQ-Cv0HU-1hX4u.jpg","","in","Indonesia","141","682","1072","https://x.com/PartaiSocmed/status/1758506676515402065","869327120","PartaiSocmed"
"830426259570118656","Sat Feb 11 14:40:23 +0000 2017","7189","Bersyukur menutup kampanye hari ini dengan berdoa agar PILKADA DKI Jakarta pada 15 Februari 2017 berjalan dengan lancar. https://t.co/9oMzymegac","830426259570118656","https://pbs.twimg.com/media/C4ZEPVtVUAIr16F.jpg","","in","Jakarta","232","767","2712","https://x.com/basuki_btp/status/830426259570118656","115286138","basuki_btp"
"1757791155016855799","Wed Feb 14 15:37:24 +0000 2024","9042","Nih contoh Pilkada DKI Jakarta 2017.... Emang Gua Percaya Ama Quick Qount ? Sori Yee... Sorii Yee... https://t.co/aepoF6g5di","1757791155016855799","https://pbs.twimg.com/media/GGTtvWMa8AAhKlB.jpg","","in","Indonesia","284","1318","1981","https://x.com/sutanmangara/status/1757791155016855799","1227719379103571968","sutanmangara"
"1242583112581709824","Tue Mar 24 22:44:34 +0000 2020","9679","Maaf BUPATI KLATEN karangan bunga anda mungkin harganya 500-1jt atau lebih. Sudah ngirim ke berapa banyak lokasi? Sekarang sudah serba digital anda bisa melakukan dengan lebih mudah dan tidak menghabiskan banyak anggaran. Saya tahu sebentar lagi pilkada. Tapi tolong mikir https://t.co/1NNcnleoKd","1242583112581709824","https://pbs.twimg.com/media/ET6Kv4FU0AAZ6OC.jpg","","in","Di Bawah Satu Bendera","764","817","4471","https://x.com/kanalberdikari/status/1242583112581709824","1064247576860323840","kanalberdikari"
"1802215553333174692","Sun Jun 16 05:44:06 +0000 2024","4","Klo sampe @PKSejahtera goyang di Pilkada saat ini dan mendukung pilihan istana dan Joko Widodo fix gw blacklist. https://t.co/1UPlHosWOX","1802215553333174692","https://pbs.twimg.com/ext_tw_video_thumb/1802212345730699264/pu/img/Jgk1HzEc72eYcfyu.jpg","","in","-6.6622935, 106.8446505","0","2","2","https://x.com/rthurbraga/status/1802215553333174692","1603583182146002944","rthurbraga"
"1804768321474380164","Sun Jun 23 06:47:53 +0000 2024","2","Hai #TemanPemilih KPU Kabupaten Kepulauan Talaud menggelar Bimbingan Teknis Pemutakhiran Data Pemilih Dan Penguatan Penggunaan aplikasi E-Coklit kepada Pantarlih untuk pilkada serentak 2024 di Aulah BKPSDM Pemkab Talaud Sabtu 22/6/2024. #KPUMelayani #PilkadaSerentak2024 https://t.co/O4UD40n16w","1804768321474380164","https://pbs.twimg.com/media/GQvTMQrbkAAuLLX.jpg","","in","Sulawesi Utara, Indonesia","0","0","0","https://x.com/KpuTalaud/status/1804768321474380164","1378925999828652039","KpuTalaud"
