"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1802985658363109712","Tue Jun 18 08:44:13 +0000 2024","5","~ Bimbingan Teknis ~ Pemutaakhiran Data Pemilih/Coklit pada Pilkada serentak 2024 Kecamatan Sayung Kabupaten Demak #ppksayung #kpudemak #kpumelayani #pilkada2024 https://t.co/qn1YfW5Dbk","1802985658363109712","https://pbs.twimg.com/media/GQV95PsbIAAgg-e.jpg","","in","","0","0","0","https://x.com/PPKSayung2024/status/1802985658363109712","1791411967447740416","PPKSayung2024"
"1803080676859932840","Tue Jun 18 15:01:47 +0000 2024","442","Jelang Pilkada Serentak 2024 Ganjar Fokus Bantu Menangkan PDI Perjuangan. Saya harus berinisiatif untuk bisa membantu daerah atau kawan-kawan yang mau maju pilkada. Karena mereka dulu udah bantu saya sekarang kami yang harus bantu mereka kata ujar Ganjar Senin (17/6/2024). https://t.co/mOs5xfVBdW","1803080676859932840","https://pbs.twimg.com/media/GQXUUIBbcAASS0V.jpg","","in","Indonesia","8","46","58","https://x.com/PDI_Perjuangan/status/1803080676859932840","153407983","PDI_Perjuangan"
"1802951948142064078","Tue Jun 18 06:30:16 +0000 2024","21","Ineu Purwadewi Sundari Konsolidasi di Majalengka dan Kabupaten Cirebon. Bendahara DPD PDI Perjuangan Jawa Barat Hj Ineu Purwadewi Sundari hadiri Konsolidasi Pemenangan Pilkada 2024 di DPC PDI Perjuangan Kabupaten Majalengka dan Rapat Konsolidasi Internal di DPC PDI Perjuangan https://t.co/rDt1G8BY5e","1802951948142064078","https://pbs.twimg.com/ext_tw_video_thumb/1802951476299644928/pu/img/d6MZfLCmix9z4cIn.jpg","","in","Indonesia","0","0","5","https://x.com/PDI_Perjuangan/status/1802951948142064078","153407983","PDI_Perjuangan"
"1802356133858025958","Sun Jun 16 15:02:43 +0000 2024","3","#PilkadaPapua #Pilkada2024kondusif #pilkadaserentak #pilkada2024 #URANUS2324OfficialTrailer https://t.co/KzRldnhL1u","1802356133858025958","https://pbs.twimg.com/media/GQNBWIPbsAA8wlN.jpg","","qme","Provinsi Papua Selatan","0","0","0","https://x.com/Papuaterkini_co/status/1802356133858025958","1775536487343464448","Papuaterkini_co"
"1802109070079627336","Sat Jun 15 22:40:58 +0000 2024","4","Sukseskan pilkada 2024 Bawaslu Kalbar lakukan pemetaan wilayah rawan money politic https://t.co/IwhET6xZZg","1802109070079627336","https://pbs.twimg.com/media/GQJgmTYbwAAiotL.jpg","","in","East Nusa Tenggara, Indonesia","0","5","1","https://x.com/napuamanda/status/1802109070079627336","1619964424382722051","napuamanda"
"1803421892231176588","Wed Jun 19 13:37:39 +0000 2024","4","It is time on pilkada 2024 https://t.co/Ht51y8M9lw","1803421892231176588","https://pbs.twimg.com/ext_tw_video_thumb/1803421847155040256/pu/img/_v8VAf8hONZdl9eS.jpg","","en","anywhere","1","2","4","https://x.com/adenium_0512/status/1803421892231176588","1603772662517764098","adenium_0512"
"1803697185126769142","Thu Jun 20 07:51:34 +0000 2024","8","Dukungan untuk Sudaryono di Pilgub Jateng 2024 Masih Mengalir Kini Giliran Garda Satu Dideklarasikan Maju I Pilgub I Jateng I Jawa Tengah I Pilkada Jateng I Dukungan I Jateng1 I Jateng5758 @SudaryonoSudar #Sudaryono #sudaryono #JawaTengah #MasDar #DARihati #cagub #Gubernur https://t.co/7jI9QQG287","1803697185126769142","https://pbs.twimg.com/media/GQgEZeHaIAEFnx8.png","","in","","0","2","7","https://x.com/yossrsro/status/1803697185126769142","886878090768424960","yossrsro"
"1803925855305109583","Thu Jun 20 23:00:13 +0000 2024","2","Anggota Polres Batu dan Polsek Jajaran melaksanakan Patroli Malam ke beberapa Obyek Vital dan pemukiman penduduk sekaligus memberikan himbauan Kamtibmas kepada warga dalam rangka menjaga Harkamtibmas menjelang Pilkada Kota Batu Tahun 2024 Jum at (21/6/2024). #pilkadabatu2024 https://t.co/zoOZx44hty","1803925855305109583","https://pbs.twimg.com/media/GQjVAKxbUAAzqeA.jpg","","in","","0","0","0","https://x.com/SiHumasBatu/status/1803925855305109583","1587637060034129920","SiHumasBatu"
"1804415863300468777","Sat Jun 22 07:27:20 +0000 2024","2","Partisipasi Pengawasan Pilkada 2024 #AwasiPilkada2024 #SukseskanPilkada2024 #Pilkada2024kondusif https://t.co/LWT3bz6gaQ","1804415863300468777","https://pbs.twimg.com/ext_tw_video_thumb/1804415797110214656/pu/img/7ncm9swmImD9sEfk.jpg","","in","West Sumatra, Indonesia","1","1","0","https://x.com/Natashya95/status/1804415863300468777","1564521560878481409","Natashya95"
"1802554032281501957","Mon Jun 17 04:09:05 +0000 2024","1","PJ Bupati Cirebon ajak masyarakat untuk sukseskan PILKADA serentak 2024 https://t.co/H11o1YiCnd","1802554032281501957","https://pbs.twimg.com/media/GQP1VurbQAAv6CR.jpg","","in","","0","0","0","https://x.com/AbdulJaya404/status/1802554032281501957","1536371113705754624","AbdulJaya404"
"1803025657326342449","Tue Jun 18 11:23:09 +0000 2024","3","#TemanPemiih Ketua dan Anggota PPS Desa Babalan menghadiri Bimbingan Teknis Pemutakhiran Data Pemilih / Coklit pada Pilkada Serentak Tahun 2024 oleh PPK kepada PPS se Kecematan Wedung di Aula Kecamatan Wedung.Selas 18/06/2024 #pilkada2024 #kpudemak #ppkwedung2024 #ppsbabalan https://t.co/Gq6bHG3XdD","1803025657326342449","https://pbs.twimg.com/media/GQWiRn_akAEA35x.jpg","","in","","0","0","0","https://x.com/PpsBabalan/status/1803025657326342449","1631273031422345219","PpsBabalan"
"1803418863721390461","Wed Jun 19 13:25:37 +0000 2024","0","#temanpemilih malam ini Pps Desa Tritis melaksanakan Rapat Koordinasi bersama Stakeholder dalamr angka pembentukan pantarlih pilkada 2024. https://t.co/fj6PxBeUZ5","1803418863721390461","https://pbs.twimg.com/media/GQcH5gQaIAILZXm.jpg","","in","","0","0","0","https://x.com/PpsTritis2024/status/1803418863721390461","1794741108670607360","PpsTritis2024"
"1804548652154646843","Sat Jun 22 16:15:00 +0000 2024","8","Sejumlah nama seperti Anies Ridwan Kamil &amp; Kaesang mulai mencuat sebagai kandidat Pilkada Jakarta 2024. Adi Prayitno mengungkapkan bahwa Anies saat ini mendominasi elektabilitasnya. Simak selengkapnya di #LanturanKompasTV di KompasTV! ▶️ https://t.co/AYu0nxChMt https://t.co/xLVaxufGhN","1804548652154646843","https://pbs.twimg.com/media/GQr6OA3aQAAdHWf.jpg","","in","Indonesia","0","1","2","https://x.com/KompasTV/status/1804548652154646843","71436318","KompasTV"
"1802912076395925979","Tue Jun 18 03:51:50 +0000 2024","3","Buko- REKAPITULASI pendaftaran PANTARLIH Pilkada serentak 2024 Desa Buko Kecamatan Wedung Kabupaten Demak pada hari ke Lima. #ppsbukowedung https://t.co/0sOQN5N390","1802912076395925979","https://pbs.twimg.com/media/GQU6-lgacAALazL.jpg","","in","","0","0","0","https://x.com/ppsbukowedung/status/1802912076395925979","1631545798709350402","ppsbukowedung"
"1803679864488337430","Thu Jun 20 06:42:45 +0000 2024","6","Dukungan tersebut dituangkan dalam surat dukungan yang diserahkan oleh Ketua Umum Partai Golkar Airlangga Hartarto kepada Wali Kota Medan sekaligus menantu Presiden Jokowi Bobby Nasution sebagai calon gubernur dalam Pilkada Sumatera Utara 2024 Rabu (19/6/2024). Dukungan ini https://t.co/Sf7G5iPqtt","1803679864488337430","https://pbs.twimg.com/amplify_video_thumb/1803679805608697857/img/x__gIHCRrWTKDdXX.jpg","","in","","0","6","1","https://x.com/NarasiNewsroom/status/1803679864488337430","1158355819512991747","NarasiNewsroom"
"1805060715239424414","Mon Jun 24 02:09:45 +0000 2024","3","Dewan Pimpinan Pusat (DPP) Partai Keadilan Sejahtera (PKS) memutuskan Mohamad Sohibul Iman untuk maju sebagai bakal calon gubernur DKI Jakarta. | #Pilkada2024 #Jakarta #SohibulIman #PKS https://t.co/8Ny2JQKQcM","1805060715239424414","https://pbs.twimg.com/media/GQzdCPGbIAAdah8.jpg","","in","Jakarta","3","1","1","https://x.com/kompascom/status/1805060715239424414","23343960","kompascom"
"1802336367382585744","Sun Jun 16 13:44:10 +0000 2024","3","Wujudkan Pilkada Serentak 2024 Yang Aman dan Damai Melalui Diseminasi Media Berkualitas #pilkada2024 https://t.co/oVJj6zS906","1802336367382585744","https://pbs.twimg.com/media/GQMvX8gbMAADvap.jpg","","in","West Sulawesi, Indonesia","0","1","0","https://x.com/anselarsenio_/status/1802336367382585744","1564497392149622784","anselarsenio_"
